STATION,LATITUDE,LONGITUDE,PROVINCIA_GEOREF
AR000000001,-29.6,-58.15,Corrientes
AR000000002,-29.82,-57.42,Corrientes
AR000000003,-29.98,-58.28,Corrientes
AR000000004,-30.78,-58.15,Entre Ríos
AR000000005,-30.03,-57.82,Corrientes
AR000000006,-31.38,-58.02,
AR000000007,-30.58,-58.45,Entre Ríos
AR000000008,-29.783,-57.983,Corrientes
AR000000009,-31.0,-57.9,
AR000000011,-30.267,-57.65,Corrientes
AR000000012,-29.73,-57.08,Corrientes
AR000000013,-30.42,-57.85,Corrientes
AR000000014,-31.08,-58.28,Entre Ríos
AR000000015,-30.03,-58.3,Corrientes
AR000000016,-29.37,-58.18,Corrientes
AR000087007,-22.1,-65.6,Jujuy
AR000087065,-24.167,-62.9,Salta
AR000087078,-24.7,-60.583,Formosa
AR000087129,-27.767,-64.3,Santiago del Estero
AR000087155,-27.45,-59.05,Chaco
AR000087217,-29.383,-66.817,La Rioja
AR000087257,-29.883,-61.95,Santa Fe
AR000087270,-29.183,-59.7,Santa Fe
AR000087344,-31.317,-64.217,Córdoba
AR000087374,-31.783,-60.483,Entre Ríos
AR000087418,-32.833,-68.783,Mendoza
AR000087534,-34.133,-63.367,Córdoba
AR000087623,-36.567,-64.266,La Pampa
AR000087692,-37.933,-57.583,Buenos Aires
AR000087715,-38.95,-68.133,Neuquén
AR000087803,-42.933,-71.15,Chubut
AR000087828,-43.2,-65.266,Chubut
AR000087860,-45.783,-67.5,Chubut
AR000087925,-51.617,-69.283,Santa Cruz
AR000870470,-24.85,-65.483,Salta
AR000873050,-30.25,-68.75,
AR000875440,-35.867,-61.9,Buenos Aires
AR000875850,-34.583,-58.483,Ciudad Autónoma de Buenos Aires
AR000877500,-38.733,-62.167,Buenos Aires
ARM00087016,-23.153,-64.329,Salta
ARM00087022,-22.62,-63.794,Salta
ARM00087046,-24.393,-65.098,Jujuy
ARM00087121,-26.841,-65.105,Tucumán
ARM00087148,-26.733,-60.483,Chaco
ARM00087162,-26.213,-58.228,Formosa
ARM00087166,-27.446,-58.762,Corrientes
ARM00087178,-27.386,-55.971,Misiones
ARM00087213,-29.233,-67.433,La Rioja
ARM00087222,-28.596,-65.752,Catamarca
ARM00087244,-29.9,-63.683,Córdoba
ARM00087289,-29.689,-57.152,Corrientes
ARM00087311,-31.571,-68.418,San Juan
ARM00087320,-30.367,-66.283,La Rioja
ARM00087322,-31.333,-66.6,
ARM00087328,-31.945,-65.146,Córdoba
ARM00087345,-31.4,-64.183,Córdoba
ARM00087349,-31.667,-63.883,Córdoba
ARM00087395,-31.297,-57.997,Entre Ríos
ARM00087416,-33.083,-68.417,Mendoza
ARM00087420,-32.883,-68.85,Mendoza
ARM00087436,-33.273,-66.356,San Luis
ARM00087448,-33.73,-65.387,
ARM00087453,-33.085,-64.261,Córdoba
ARM00087467,-32.684,-62.158,Córdoba
ARM00087480,-32.904,-60.785,Santa Fe
ARM00087497,-33.01,-58.613,Entre Ríos
ARM00087506,-35.494,-69.574,Mendoza
ARM00087509,-34.588,-68.403,Mendoza
ARM00087532,-35.696,-63.758,La Pampa
ARM00087548,-34.546,-60.931,Buenos Aires
ARM00087550,-35.45,-60.883,
ARM00087563,-36.067,-59.1,
ARM00087576,-34.822,-58.536,
ARM00087582,-34.559,-58.416,
ARM00087593,-34.972,-57.895,
ARM00087596,-35.367,-57.283,
ARM00087637,-37.433,-61.883,
ARM00087640,-36.2,-61.067,
ARM00087641,-36.833,-59.883,
ARM00087643,-36.883,-60.217,
ARM00087645,-37.237,-59.228,
ARM00087648,-36.35,-57.733,
ARM00087679,-37.6,-62.383,
ARM00087688,-38.387,-60.33,
ARM00087736,-39.017,-64.083,
ARM00087765,-41.151,-71.158,
ARM00087774,-41.25,-68.733,
ARM00087784,-40.783,-65.1,
ARM00087791,-40.869,-63.0,
ARM00087800,-41.943,-71.532,
ARM00087814,-43.817,-68.883,
ARM00087823,-42.733,-65.067,
ARM00087852,-46.517,-71.017,
ARM00087880,-48.783,-70.167,
ARM00087896,-47.735,-65.904,
ARM00087903,-50.333,-72.3,
ARM00087904,-50.267,-72.05,
ARM00087909,-49.307,-67.803,
ARM00087934,-53.778,-67.749,
ARM00087938,-54.843,-68.296,
BR002554002,-25.733,-54.467,
BR002653009,-26.07,-53.73,
BR002754001,-27.3,-54.13,
PAM00086170,-24.75,-58.833,
